Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeComments,EmployeeComments_Processed,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,Attrition_No,Attrition_Yes,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_No,OverTime_Yes,sentiment_label_Negative,sentiment_label_Neutral,sentiment_label_Positive,salary_to_income_ratio,workload_score,career_progress_ratio,promotion_frequency,job_change_frequency,satisfaction_index,attrition_risk_score,average_rating,engagement_potential,attrition_risk_category_High_Risk,attrition_risk_category_Low_Risk,attrition_risk_category_Medium_Risk
41,1102,1,2,1,1,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,0,1,6,4,0,5,Management is unsupportive and career progression is stagnant.,management is unsupportive and career progression is stagnant.,0.0,0.0,0.0,1.0,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,3.24974974974975,2,0.7777777777777778,7.0,1.0,2.0,1.6444444444444446,3.0,3.355555555555555,False,False,True
49,279,8,1,1,2,3,61,2,2,2,5130,24907,1,23,4,4,80,1,10,3,3,10,7,1,7,"Standard work situation, nothing exceptional.","standard work situation, nothing exceptional.",0.0,0.0,0.0,1.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,4.854219450399532,0,1.0,5.5,0.18181818181818182,3.0,0.5,3.0,4.5,False,True,False
37,1373,2,2,1,4,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,3,0,0,0,0,Decent workplace but room for improvement.,decent workplace but room for improvement.,0.6124,0.444,0.0,0.556,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,1.1458632233381156,2,0.125,1.0,0.875,3.0,1.2750000000000001,2.5,3.7249999999999996,False,False,True
33,1392,3,4,1,5,4,56,3,1,3,2909,23159,1,11,3,3,80,0,8,3,3,8,7,3,0,Average work conditions and typical responsibilities.,average work conditions and typical responsibilities.,0.0,0.0,0.0,1.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,7.958419243986254,2,1.0,2.25,0.2222222222222222,3.25,0.975,3.0,4.025,False,True,False
27,591,2,1,1,7,1,40,3,1,2,3468,16632,9,12,3,4,80,1,6,3,3,2,2,2,2,"Work environment is neutral, neither good nor bad.","work environment is neutral, neither good nor bad.",-0.5824,0.0,0.443,0.557,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,4.794465263764773,0,0.42857142857142855,1.0,1.4285714285714286,2.5,0.8642857142857143,3.0,4.135714285714286,False,True,False
32,1005,2,2,1,8,4,79,3,1,4,3068,11864,0,13,3,3,80,0,8,2,2,7,7,3,6,The job meets expectations for the most part.,the job meets expectations for the most part.,0.0,0.0,0.0,1.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,3.8657543173672204,1,0.8888888888888888,2.0,0.1111111111111111,3.25,0.6972222222222223,3.0,4.302777777777778,False,True,False
59,1324,3,3,1,10,3,81,4,1,1,2670,9964,4,20,4,1,80,3,12,3,2,1,0,0,0,Very dissatisfied with compensation and benefits.,very dissatisfied with compensation and benefits.,-0.0754,0.274,0.305,0.421,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,3.7304380381879447,2,0.15384615384615385,2.0,0.38461538461538464,1.75,1.8942307692307694,4.0,3.105769230769231,False,False,True
30,1358,24,1,1,11,4,67,3,1,3,2693,13335,1,22,4,2,80,1,1,2,3,1,0,0,0,"Work environment is neutral, neither good nor bad.","work environment is neutral, neither good nor bad.",-0.5824,0.0,0.443,0.557,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,4.94988864142539,1,1.0,2.0,1.0,3.0,0.8,3.5,4.2,False,True,False
38,216,23,3,1,12,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,2,3,9,7,1,8,Decent workplace but room for improvement.,decent workplace but room for improvement.,0.6124,0.444,0.0,0.556,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,0.9223260207830377,0,0.9090909090909091,5.0,0.09090909090909091,3.0,0.5181818181818182,3.0,4.4818181818181815,False,True,False
36,1299,27,3,1,13,3,94,3,2,3,5237,16577,6,13,3,2,80,2,17,3,2,7,7,7,7,Average work conditions and typical responsibilities.,average work conditions and typical responsibilities.,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,3.164757541046201,1,0.4444444444444444,1.0,0.3888888888888889,2.5,1.1611111111111112,3.0,3.8388888888888886,False,False,True
